Hour,Predicted_Noise,Finite_Size_SKR,Date
0,0.957,0.219,2026-01-28
1,0.955,0.221,2026-01-28
2,0.955,0.22,2026-01-28
3,0.955,0.22,2026-01-28
4,0.955,0.22,2026-01-28
5,0.956,0.22,2026-01-28
6,0.959,0.217,2026-01-28
7,0.958,0.218,2026-01-28
8,0.958,0.218,2026-01-28
9,0.958,0.218,2026-01-28
10,0.958,0.218,2026-01-28
11,0.958,0.218,2026-01-28
12,0.959,0.217,2026-01-28
13,0.959,0.217,2026-01-28
14,0.958,0.218,2026-01-28
15,0.958,0.218,2026-01-28
16,0.958,0.218,2026-01-28
17,0.958,0.218,2026-01-28
18,0.958,0.218,2026-01-28
19,0.956,0.22,2026-01-28
20,0.956,0.22,2026-01-28
21,0.955,0.22,2026-01-28
22,0.955,0.22,2026-01-28
23,0.955,0.22,2026-01-28
