Date,Hour,Day_Night,Predicted_Noise,Asymptotic_SKR,Finite_Size_SKR
2026-01-28,0,Night,0.9565,0.2435,0.2191
2026-01-28,1,Night,0.955,0.245,0.2205
2026-01-28,2,Night,0.9551,0.2449,0.2204
2026-01-28,3,Night,0.9551,0.2449,0.2204
2026-01-28,4,Night,0.9552,0.2448,0.2203
2026-01-28,5,Night,0.9555,0.2445,0.22
2026-01-28,6,Day,0.9588,0.2412,0.2171
2026-01-28,7,Day,0.9582,0.2418,0.2176
2026-01-28,8,Day,0.9579,0.2421,0.2179
2026-01-28,9,Day,0.9578,0.2422,0.2179
2026-01-28,10,Day,0.9579,0.2421,0.2179
2026-01-28,11,Day,0.9579,0.2421,0.2179
2026-01-28,12,Day,0.9593,0.2407,0.2166
2026-01-28,13,Day,0.9594,0.2406,0.2166
2026-01-28,14,Day,0.958,0.242,0.2178
2026-01-28,15,Day,0.9579,0.2421,0.2179
2026-01-28,16,Day,0.9576,0.2424,0.2182
2026-01-28,17,Day,0.9579,0.2421,0.2179
2026-01-28,18,Day,0.9582,0.2418,0.2176
2026-01-28,19,Night,0.956,0.244,0.2196
2026-01-28,20,Night,0.9555,0.2445,0.22
2026-01-28,21,Night,0.9552,0.2448,0.2203
2026-01-28,22,Night,0.9551,0.2449,0.2204
2026-01-28,23,Night,0.9551,0.2449,0.2204
