Date,Hour,Day_Night,Predicted_Noise,Asymptotic_SKR,Finite_Size_SKR
2026-01-28,0,Night,0.957,0.243,0.2309
2026-01-28,1,Night,0.9554,0.2446,0.2323
2026-01-28,2,Night,0.9555,0.2445,0.2322
2026-01-28,3,Night,0.9556,0.2444,0.2322
2026-01-28,4,Night,0.9557,0.2443,0.2321
2026-01-28,5,Night,0.956,0.244,0.2318
2026-01-28,6,Day,0.9592,0.2408,0.2287
2026-01-28,7,Day,0.9587,0.2413,0.2292
2026-01-28,8,Day,0.9584,0.2416,0.2296
2026-01-28,9,Day,0.9583,0.2417,0.2296
2026-01-28,10,Day,0.9584,0.2416,0.2296
2026-01-28,11,Day,0.9584,0.2416,0.2296
2026-01-28,12,Day,0.9598,0.2402,0.2282
2026-01-28,13,Day,0.9598,0.2402,0.2282
2026-01-28,14,Day,0.9585,0.2415,0.2295
2026-01-28,15,Day,0.9584,0.2416,0.2295
2026-01-28,16,Day,0.9581,0.2419,0.2298
2026-01-28,17,Day,0.9584,0.2416,0.2296
2026-01-28,18,Day,0.9587,0.2413,0.2292
2026-01-28,19,Night,0.9565,0.2435,0.2313
2026-01-28,20,Night,0.956,0.244,0.2318
2026-01-28,21,Night,0.9557,0.2443,0.2321
2026-01-28,22,Night,0.9556,0.2444,0.2322
2026-01-28,23,Night,0.9556,0.2444,0.2322
